File,ZCR,SpectralCentroid,SpectralFlux,RMSEnergy,Classification
AAHiZ-c88ec,0.14762455062349925,2020.6842483774722,0.06140376459803506,0.06095268,Speech
AEsRr-ZnzNc,0.0903938263682401,1459.411075055556,-0.28699823176724587,0.11985411,Music
AJpzk-aFZPU,0.23253500982327333,2547.312382619751,0.6351198319971284,0.09151153,Speech
AONXX-h9SdI,0.1436011104728812,2209.112948670619,0.005477050590698682,0.107070744,Speech
AOZIY-AwsjM,0.10615912953172206,1218.7401764278027,-0.10205087364836025,0.036882814,Music
APerX-RLJxo,0.09265112704918033,1511.5435255125528,-1.4919532509398429e-15,0.15227403,Music
AQbNb-vtBn8,0.07489119427273579,1297.239399402808,-0.223669175309533,0.02737241,Music
AQfXU-TJ8hA,0.06870756060163552,921.4201404848926,0.8994271113159638,0.21858492,Music
AQfXU-wGovo,0.14756708559782608,2046.907220067031,-1.801929133542703,0.18393344,Speech
AQzlW-z_mgA,0.12567910167778693,1781.9740641581297,0.08647223246780116,0.042326495,Speech
ASbUG-sjYzk,0.11298327076652688,1988.8795693481136,0.3426388445903593,0.23845103,Music
AXMUA-RQZUE,0.13174812670299726,1384.8418426013282,-0.1530212720860321,0.014785302,Music
AXkEd-CIG_g,0.12873347896153672,1577.6104789843214,0.007846796972189091,0.022835359,Music
AYeMQ-YWROE,0.1591112252888553,2438.438056642812,0.3570167271513849,0.20648444,Speech
AaBid-tF4b8,0.12719152141704754,1724.705632156229,0.010827574572954843,0.042635784,Music
AbWJf-uQ5i4,0.13131322211173685,1789.2060518086867,-0.030924829069719894,0.010057829,Speech
AdQpt-o5a6c,0.11502570634678963,1712.5123692950133,-0.052867623729454576,0.051861126,Music
AgMIS-4d8ZQ,0.16397246113795758,2098.857297542587,-0.0082753701795577,0.0638666,Speech
AhkLa-2VX54,0.13703070903058281,1995.620540101358,-0.017228763497034116,0.061007038,Speech
AjQFQ-5WXLI,0.10015401694132932,1646.9787137468147,-0.2009865589379434,0.22935763,Music
AlXSJ-ZMLmk,0.10964641304712675,1759.6931105757244,-0.6698219666267394,0.11162934,Music
AmDOu-TL3po,0.13418210010450124,1669.8027288427968,-0.03783429144988939,0.043035604,Music
AmDou-_Ijmo,0.126879688000944,1953.0116380240172,0.00010606437632250836,0.06176617,Speech
ApGam-dLiEg,0.14271725414019965,1834.7711298349416,-0.6736143098794182,0.04057104,Speech
AqSnP-RLVSg,0.09945119222005208,1473.9970135008791,5.527403118953376e-16,0.031982437,Music
AsLfk-FCJPU,0.12209147529509685,1790.8613535187399,0.17109769762210833,0.035700668,Music
AtMPU-tiTbY,0.15632237946018815,1987.6082808640656,-0.036053289953078535,0.052970093,Speech
